value,count,acres,year,county,Category,Crop_0_1
0,1598698,355541.8769,2005,Ada,NA,NA
1,52194,11607.66619,2005,Ada, Corn,1
21,46050,10241.27348,2005,Ada, Barley,1
24,1699,377.8485048,2005,Ada, Winter Wheat,1
36,424704,94451.89604,2005,Ada, Alfalfa,1
42,333,74.05741736,2005,Ada, Dry Beans,1
44,699,155.4538581,2005,Ada, Other Crops,1
59,3,0.66718394,2005,Ada, Sod/Grass Seed,1
61,14186,3154.890458,2005,Ada, Fallow/Idle Cropland,0
63,56714,12612.88999,2005,Ada, Forest,0
81,7869,1750.023475,2005,Ada,Clouds,0
83,6980,1552.314634,2005,Ada,Water,0
176,2440286,542706.5429,2005,Ada, Grass/Pasture,0
0,458032,101863.8648,2007,Ada,NA,NA
1,16997,3780.04181,2007,Ada, Corn,1
12,596,132.5472094,2007,Ada, Sweet Corn,1
21,364,80.9516514,2007,Ada, Barley,1
23,1235,274.6573887,2007,Ada, Spring Wheat,1
24,5274,1172.909367,2007,Ada, Winter Wheat,1
25,143,31.80243448,2007,Ada, Other Small Grains,1
27,3,0.66718394,2007,Ada, Rye,1
28,630,140.1086274,2007,Ada, Oats,1
36,29170,6487.251845,2007,Ada, Alfalfa,1
41,1572,349.6043846,2007,Ada, Sugarbeets,1
42,1610,358.0553812,2007,Ada, Dry Beans,1
43,666,148.1148347,2007,Ada, Potatoes,1
47,122,27.1321469,2007,Ada, Misc Vegs & Fruits,1
49,349,77.6157317,2007,Ada, Onions,1
53,283,62.93768502,2007,Ada, Peas,1
56,38,8.450996575,2007,Ada, Hops,1
57,1375,305.7926392,2007,Ada, Herbs,1
58,63,14.01086274,2007,Ada, Clover/Wildflowers,0
59,735,163.4600653,2007,Ada, Sod/Grass Seed,1
61,3174,705.8806087,2007,Ada, Fallow/Idle Cropland,0
63,101,22.46185932,2007,Ada, Forest,0
67,16,3.558314347,2007,Ada, Peaches,1
68,126,28.02172549,2007,Ada, Apples,1
69,6,1.33436788,2007,Ada, Grapes,1
71,18,4.003103641,2007,Ada, Other Tree Crops,1
72,14,3.113525054,2007,Ada, Citrus,1
111,5418,1204.934196,2007,Ada, Open Water,0
121,86400,19214.89748,2007,Ada, Developed/Open Space,0
122,37251,8284.422985,2007,Ada, Developed/Low Intensity,0
123,7794,1733.343876,2007,Ada, Developed/Medium Intensity,0
124,889,197.7088409,2007,Ada, Developed/High Intensity,0
131,47,10.4525484,2007,Ada, Barren,0
141,17,3.780708994,2007,Ada, Deciduous Forest,0
142,7925,1762.477575,2007,Ada, Evergreen Forest,0
152,208062,46271.87498,2007,Ada, Shrubland,0
176,456864,101604.1079,2007,Ada, Grass/Pasture,0
190,316,70.27670836,2007,Ada, Woody Wetlands,0
195,139,30.91285589,2007,Ada, Herbaceous Wetlands,0
0,1598698,355541.8769,2008,Ada,NA,NA
1,40893,9094.384288,2008,Ada, Corn,1
4,37,8.228601928,2008,Ada, Sorghum,1
6,1,0.222394647,2008,Ada, Sunflowers,1
12,4152,923.3825732,2008,Ada, Sweet Corn,1
14,1,0.222394647,2008,Ada, Mint,1
21,1380,306.9046125,2008,Ada, Barley,1
23,12331,2742.348389,2008,Ada, Spring Wheat,1
24,50980,11337.67909,2008,Ada, Winter Wheat,1
27,2,0.444789293,2008,Ada, Rye,1
28,2419,537.9726504,2008,Ada, Oats,1
31,7,1.556762527,2008,Ada, Canola,1
36,119070,26480.53058,2008,Ada, Alfalfa,1
37,9559,2125.870428,2008,Ada, Other Hay/Non Alfalfa,1
41,5773,1283.884295,2008,Ada, Sugarbeets,1
42,7942,1766.258284,2008,Ada, Dry Beans,1
43,810,180.1396638,2008,Ada, Potatoes,1
44,24,5.337471521,2008,Ada, Other Crops,1
49,1749,388.9682371,2008,Ada, Onions,1
52,27,6.004655461,2008,Ada, Lentils,1
53,1154,256.6434223,2008,Ada, Peas,1
54,4,0.889578587,2008,Ada,Tomatoes,1
56,157,34.91595953,2008,Ada, Hops,1
57,4768,1060.377676,2008,Ada, Herbs,1
58,37,8.228601928,2008,Ada, Clover/Wildflowers,0
59,6274,1395.304013,2008,Ada, Sod/Grass Seed,1
61,43510,9676.391079,2008,Ada, Fallow/Idle Cropland,0
66,252,56.04345097,2008,Ada,Cherries,1
67,240,53.37471521,2008,Ada, Peaches,1
68,848,188.5906604,2008,Ada, Apples,1
69,77,17.1243878,2008,Ada, Grapes,1
71,5,1.111973234,2008,Ada, Other Tree Crops,1
77,36,8.006207282,2008,Ada, Pears,1
111,15604,3470.246067,2008,Ada, Open Water,0
121,202270,44983.76519,2008,Ada, Developed/Open Space,0
122,141762,31527.10991,2008,Ada, Developed/Low Intensity,0
123,38824,8634.249764,2008,Ada, Developed/Medium Intensity,0
124,4547,1011.228459,2008,Ada, Developed/High Intensity,0
131,206,45.81329722,2008,Ada, Barren,0
141,399,88.73546404,2008,Ada, Deciduous Forest,0
142,25967,5774.921791,2008,Ada, Evergreen Forest,0
143,13,2.891130407,2008,Ada, Mixed Forest,0
152,724046,161023.9544,2008,Ada, Shrubland,0
176,1581282,351668.6517,2008,Ada, Grass/Pasture,0
190,153,34.02638095,2008,Ada, Woody Wetlands,0
195,73,16.23480921,2008,Ada, Herbaceous Wetlands,0
205,1637,364.0600367,2008,Ada, Triticale,1
206,157,34.91595953,2008,Ada, Carrots,1
218,17,3.780708994,2008,Ada, Nectarines,1
219,107,23.7962272,2008,Ada, Greens,1
220,17,3.780708994,2008,Ada, Plums,1
229,15,3.335919701,2008,Ada,Pumpkin,1
246,1,0.222394647,2008,Ada, Radishes,1
247,101,22.46185932,2008,Ada, Turnips,1
0,1598698,355541.8769,2009,Ada,NA,NA
1,50564,11245.16292,2009,Ada, Corn,1
4,102,22.68425396,2009,Ada, Sorghum,1
6,4,0.889578587,2009,Ada, Sunflowers,1
12,2469,549.0923827,2009,Ada, Sweet Corn,1
14,5,1.111973234,2009,Ada, Mint,1
21,1998,444.3445041,2009,Ada, Barley,1
23,7674,1706.656519,2009,Ada, Spring Wheat,1
24,34664,7709.088034,2009,Ada, Winter Wheat,1
25,127,28.24412013,2009,Ada, Other Small Grains,1
27,16,3.558314347,2009,Ada, Rye,1
28,3240,720.5586554,2009,Ada, Oats,1
31,1,0.222394647,2009,Ada, Canola,1
33,906,201.4895499,2009,Ada,Safflower,1
36,135345,30100.00346,2009,Ada, Alfalfa,1
37,9357,2080.946709,2009,Ada, Other Hay/Non Alfalfa,1
41,7280,1619.033028,2009,Ada, Sugarbeets,1
42,12078,2686.082543,2009,Ada, Dry Beans,1
43,3714,825.9737179,2009,Ada, Potatoes,1
44,15,3.335919701,2009,Ada, Other Crops,1
47,4,0.889578587,2009,Ada, Misc Vegs & Fruits,1
49,1041,231.5128272,2009,Ada, Onions,1
53,3951,878.6812492,2009,Ada, Peas,1
56,102,22.68425396,2009,Ada, Hops,1
57,6424,1428.66321,2009,Ada, Herbs,1
58,107,23.7962272,2009,Ada, Clover/Wildflowers,0
59,5212,1159.120899,2009,Ada, Sod/Grass Seed,1
61,60698,13498.91027,2009,Ada, Fallow/Idle Cropland,0
66,54,12.00931092,2009,Ada,Cherries,1
67,15,3.335919701,2009,Ada, Peaches,1
68,113,25.13059508,2009,Ada, Apples,1
69,14,3.113525054,2009,Ada, Grapes,1
77,94,20.90509679,2009,Ada, Pears,1
111,15805,3514.947391,2009,Ada, Open Water,0
121,203628,45285.77712,2009,Ada, Developed/Open Space,0
122,141684,31509.76312,2009,Ada, Developed/Low Intensity,0
123,40115,8921.361253,2009,Ada, Developed/Medium Intensity,0
124,4837,1075.722906,2009,Ada, Developed/High Intensity,0
131,322,71.61107624,2009,Ada, Barren,0
141,1,0.222394647,2009,Ada, Deciduous Forest,0
142,24883,5533.845994,2009,Ada, Evergreen Forest,0
152,705197,156832.0377,2009,Ada, Shrubland,0
176,1564086,347844.3534,2009,Ada, Grass/Pasture,0
190,1091,242.6325596,2009,Ada, Woody Wetlands,0
195,381,84.7323604,2009,Ada, Herbaceous Wetlands,0
205,2129,473.4782029,2009,Ada, Triticale,1
206,41,9.118180515,2009,Ada, Carrots,1
207,2,0.444789293,2009,Ada,Asparagus,1
218,3,0.66718394,2009,Ada, Nectarines,1
227,2,0.444789293,2009,Ada, Lettuce,1
229,14,3.113525054,2009,Ada,Pumpkin,1
246,37,8.228601928,2009,Ada, Radishes,1
247,71,15.79001992,2009,Ada, Turnips,1
0,1598698,355541.8769,2010,Ada,NA,NA
1,49647,11041.22703,2010,Ada, Corn,1
4,105,23.3514379,2010,Ada, Sorghum,1
6,25,5.559866168,2010,Ada, Sunflowers,1
12,1613,358.7225651,2010,Ada, Sweet Corn,1
21,2333,518.8467108,2010,Ada, Barley,1
23,9924,2207.044474,2010,Ada, Spring Wheat,1
24,33161,7374.82888,2010,Ada, Winter Wheat,1
28,1961,436.1159022,2010,Ada, Oats,1
33,3,0.66718394,2010,Ada,Safflower,1
36,107808,23975.92207,2010,Ada, Alfalfa,1
37,4564,1015.009168,2010,Ada, Other Hay/Non Alfalfa,1
41,8752,1946.397948,2010,Ada, Sugarbeets,1
42,9673,2151.223418,2010,Ada, Dry Beans,1
43,2325,517.0675536,2010,Ada, Potatoes,1
44,49,10.89733769,2010,Ada, Other Crops,1
49,2176,483.9307512,2010,Ada, Onions,1
52,1,0.222394647,2010,Ada, Lentils,1
53,1054,234.4039576,2010,Ada, Peas,1
56,61,13.56607345,2010,Ada, Hops,1
57,6578,1462.911986,2010,Ada, Herbs,1
58,371,82.50841393,2010,Ada, Clover/Wildflowers,0
59,577,128.3217112,2010,Ada, Sod/Grass Seed,1
61,21571,4797.274924,2010,Ada, Fallow/Idle Cropland,0
63,128,28.46651478,2010,Ada, Forest,0
66,76,16.90199315,2010,Ada,Cherries,1
67,65,14.45565204,2010,Ada, Peaches,1
68,223,49.59400622,2010,Ada, Apples,1
69,165,36.69511671,2010,Ada, Grapes,1
71,4,0.889578587,2010,Ada, Other Tree Crops,1
111,16036,3566.320555,2010,Ada, Open Water,0
121,200698,44634.16081,2010,Ada, Developed/Open Space,0
122,126592,28153.38312,2010,Ada, Developed/Low Intensity,0
123,30322,6743.450478,2010,Ada, Developed/Medium Intensity,0
124,2926,650.7267363,2010,Ada, Developed/High Intensity,0
131,318,70.72149765,2010,Ada, Barren,0
141,78,17.34678244,2010,Ada, Deciduous Forest,0
142,25606,5694.637324,2010,Ada, Evergreen Forest,0
152,767719,170736.5958,2010,Ada, Shrubland,0
176,1611107,358301.5721,2010,Ada, Grass/Pasture,0
190,1977,439.6742166,2010,Ada, Woody Wetlands,0
195,719,159.901751,2010,Ada, Herbaceous Wetlands,0
205,2292,509.7285303,2010,Ada, Triticale,1
206,185,41.14300964,2010,Ada, Carrots,1
216,2,0.444789293,2010,Ada, Peppers,1
218,1,0.222394647,2010,Ada, Nectarines,1
219,87,19.34833426,2010,Ada, Greens,1
220,4,0.889578587,2010,Ada, Plums,1
223,1,0.222394647,2010,Ada,Apricots,1
227,2,0.444789293,2010,Ada, Lettuce,1
229,24,5.337471521,2010,Ada,Pumpkin,1
246,9,2.00155182,2010,Ada, Radishes,1
247,18,4.003103641,2010,Ada, Turnips,1
250,1,0.222394647,2010,Ada,Cranberries,1
0,1598698,355541.8769,2011,Ada,NA,NA
1,62560,13913.0091,2011,Ada, Corn,1
4,6,1.33436788,2011,Ada, Sorghum,1
5,53,11.78691628,2011,Ada,Soybeans,1
12,1323,294.2281176,2011,Ada, Sweet Corn,1
14,1,0.222394647,2011,Ada, Mint,1
21,4451,989.8785725,2011,Ada, Barley,1
23,12827,2852.656133,2011,Ada, Spring Wheat,1
24,42574,9468.229689,2011,Ada, Winter Wheat,1
27,8,1.779157174,2011,Ada, Rye,1
28,1951,433.8919557,2011,Ada, Oats,1
36,72933,16219.90877,2011,Ada, Alfalfa,1
37,1188,264.2048403,2011,Ada, Other Hay/Non Alfalfa,1
38,4,0.889578587,2011,Ada,Camelina,1
41,8775,1951.513025,2011,Ada, Sugarbeets,1
42,6489,1443.118863,2011,Ada, Dry Beans,1
43,3652,812.1852498,2011,Ada, Potatoes,1
44,86,19.12593962,2011,Ada, Other Crops,1
48,14,3.113525054,2011,Ada,Watermelon,1
49,2910,647.1684219,2011,Ada, Onions,1
53,566,125.87537,2011,Ada, Peas,1
56,58,12.89888951,2011,Ada, Hops,1
57,8448,1878.789975,2011,Ada, Herbs,1
58,124,27.57693619,2011,Ada, Clover/Wildflowers,0
59,127,28.24412013,2011,Ada, Sod/Grass Seed,1
61,70813,15748.43212,2011,Ada, Fallow/Idle Cropland,0
66,181,40.25343106,2011,Ada,Cherries,1
67,594,132.1024201,2011,Ada, Peaches,1
68,944,209.9405465,2011,Ada, Apples,1
69,443,98.52082849,2011,Ada, Grapes,1
71,36,8.006207282,2011,Ada, Other Tree Crops,1
111,17237,3833.416525,2011,Ada, Open Water,0
121,211243,46979.31236,2011,Ada, Developed/Open Space,0
122,144726,32186.28764,2011,Ada, Developed/Low Intensity,0
123,36452,8106.729662,2011,Ada, Developed/Medium Intensity,0
124,4511,1003.222251,2011,Ada, Developed/High Intensity,0
131,795,176.8037441,2011,Ada, Barren,0
141,19,4.225498288,2011,Ada, Deciduous Forest,0
142,25436,5656.830234,2011,Ada, Evergreen Forest,0
152,2111024,469480.4367,2011,Ada, Shrubland,0
176,186506,41477.93598,2011,Ada, Grass/Pasture,0
190,1676,372.7334279,2011,Ada, Woody Wetlands,0
195,1184,263.3152617,2011,Ada, Herbaceous Wetlands,0
205,6388,1420.657003,2011,Ada, Triticale,1
206,247,54.93147774,2011,Ada, Carrots,1
207,1,0.222394647,2011,Ada,Asparagus,1
210,2,0.444789293,2011,Ada,Prunes,1
218,3,0.66718394,2011,Ada, Nectarines,1
219,63,14.01086274,2011,Ada, Greens,1
220,3,0.66718394,2011,Ada, Plums,1
225,9,2.00155182,2011,Ada, Dbl Crop WinWht/Corn,1
227,5,1.111973234,2011,Ada, Lettuce,1
229,12,2.668735761,2011,Ada,Pumpkin,1
236,8,1.779157174,2011,Ada,Dbl Crop WinWht/Sorgum,1
246,14,3.113525054,2011,Ada, Radishes,1
247,14,3.113525054,2011,Ada, Turnips,1
0,1598698,355541.8769,2012,Ada,NA,NA
1,66214,14725.63914,2012,Ada, Corn,1
4,12,2.668735761,2012,Ada, Sorghum,1
5,41,9.118180515,2012,Ada,Soybeans,1
12,1696,377.1813208,2012,Ada, Sweet Corn,1
13,17,3.780708994,2012,Ada, Pop or Orn Corn,1
21,5424,1206.268564,2012,Ada, Barley,1
23,6311,1403.532615,2012,Ada, Spring Wheat,1
24,47437,10549.73486,2012,Ada, Winter Wheat,1
27,9,2.00155182,2012,Ada, Rye,1
28,795,176.8037441,2012,Ada, Oats,1
32,1,0.222394647,2012,Ada, Flaxseed,1
36,91263,20296.40264,2012,Ada, Alfalfa,1
37,2719,604.6910444,2012,Ada, Other Hay/Non Alfalfa,1
41,11466,2549.977019,2012,Ada, Sugarbeets,1
42,8283,1842.094859,2012,Ada, Dry Beans,1
43,1833,407.6493874,2012,Ada, Potatoes,1
44,180,40.03103641,2012,Ada, Other Crops,1
49,1938,431.0008253,2012,Ada, Onions,1
53,824,183.2531889,2012,Ada, Peas,1
56,48,10.67494304,2012,Ada, Hops,1
57,10729,2386.072165,2012,Ada, Herbs,1
58,88,19.57072891,2012,Ada, Clover/Wildflowers,0
59,1523,338.7070469,2012,Ada, Sod/Grass Seed,1
61,72618,16149.85446,2012,Ada, Fallow/Idle Cropland,0
66,44,9.785364455,2012,Ada,Cherries,1
67,18,4.003103641,2012,Ada, Peaches,1
68,122,27.1321469,2012,Ada, Apples,1
69,79,17.56917709,2012,Ada, Grapes,1
77,2,0.444789293,2012,Ada, Pears,1
111,17769,3951.730477,2012,Ada, Open Water,0
121,206215,45861.11207,2012,Ada, Developed/Open Space,0
122,144832,32209.86147,2012,Ada, Developed/Low Intensity,0
123,37937,8436.985712,2012,Ada, Developed/Medium Intensity,0
124,4252,945.6220378,2012,Ada, Developed/High Intensity,0
131,1193,265.3168135,2012,Ada, Barren,0
141,3,0.66718394,2012,Ada, Deciduous Forest,0
142,25666,5707.981003,2012,Ada, Evergreen Forest,0
152,1963330,436634.0817,2012,Ada, Shrubland,0
176,309018,68723.94894,2012,Ada, Grass/Pasture,0
190,2347,521.9602358,2012,Ada, Woody Wetlands,0
195,1789,397.864023,2012,Ada, Herbaceous Wetlands,0
205,4247,944.5100646,2012,Ada, Triticale,1
206,1141,253.7522919,2012,Ada, Carrots,1
216,1,0.222394647,2012,Ada, Peppers,1
218,5,1.111973234,2012,Ada, Nectarines,1
220,79,17.56917709,2012,Ada, Plums,1
223,20,4.447892934,2012,Ada,Apricots,1
225,3,0.66718394,2012,Ada, Dbl Crop WinWht/Corn,1
227,2,0.444789293,2012,Ada, Lettuce,1
229,2,0.444789293,2012,Ada,Pumpkin,1
246,18,4.003103641,2012,Ada, Radishes,1
247,114,25.35298973,2012,Ada, Turnips,1
0,1598698,355541.8769,2013,Ada,NA,NA
1,65651,14600.43095,2013,Ada, Corn,1
4,322,71.61107624,2013,Ada, Sorghum,1
12,1325,294.6729069,2013,Ada, Sweet Corn,1
13,23,5.115076874,2013,Ada, Pop or Orn Corn,1
21,6829,1518.733042,2013,Ada, Barley,1
23,4240,942.9533021,2013,Ada, Spring Wheat,1
24,39761,8842.633548,2013,Ada, Winter Wheat,1
27,147,32.69201307,2013,Ada, Rye,1
28,629,139.8862328,2013,Ada, Oats,1
35,140,31.13525054,2013,Ada, Mustard,1
36,76494,17011.85611,2013,Ada, Alfalfa,1
37,3315,737.2382539,2013,Ada, Other Hay/Non Alfalfa,1
38,212,47.1476651,2013,Ada,Camelina,1
41,9311,2070.716556,2013,Ada, Sugarbeets,1
42,5844,1299.674315,2013,Ada, Dry Beans,1
43,2922,649.8371577,2013,Ada, Potatoes,1
44,566,125.87537,2013,Ada, Other Crops,1
47,5,1.111973234,2013,Ada, Misc Vegs & Fruits,1
49,3016,670.7422545,2013,Ada, Onions,1
53,526,116.9795842,2013,Ada, Peas,1
56,115,25.57538437,2013,Ada, Hops,1
57,6133,1363.946368,2013,Ada, Herbs,1
58,25,5.559866168,2013,Ada, Clover/Wildflowers,0
59,700,155.6762527,2013,Ada, Sod/Grass Seed,1
61,40611,9031.668998,2013,Ada, Fallow/Idle Cropland,0
66,112,24.90820043,2013,Ada,Cherries,1
67,168,37.36230065,2013,Ada, Peaches,1
68,251,55.82105633,2013,Ada, Apples,1
69,140,31.13525054,2013,Ada, Grapes,1
77,23,5.115076874,2013,Ada, Pears,1
111,16792,3734.450908,2013,Ada, Open Water,0
121,201086,44720.44993,2013,Ada, Developed/Open Space,0
122,145514,32361.53462,2013,Ada, Developed/Low Intensity,0
123,37120,8255.289286,2013,Ada, Developed/Medium Intensity,0
124,4692,1043.475682,2013,Ada, Developed/High Intensity,0
131,144,32.02482913,2013,Ada, Barren,0
141,42,9.340575162,2013,Ada, Deciduous Forest,0
142,25211,5606.791438,2013,Ada, Evergreen Forest,0
143,1,0.222394647,2013,Ada, Mixed Forest,0
152,779024,173250.7673,2013,Ada, Shrubland,0
176,1568285,348778.1885,2013,Ada, Grass/Pasture,0
190,2293,509.9509249,2013,Ada, Woody Wetlands,0
195,719,159.901751,2013,Ada, Herbaceous Wetlands,0
205,1022,227.2873289,2013,Ada, Triticale,1
206,85,18.90354497,2013,Ada, Carrots,1
216,9,2.00155182,2013,Ada, Peppers,1
218,9,2.00155182,2013,Ada, Nectarines,1
219,1,0.222394647,2013,Ada, Greens,1
220,24,5.337471521,2013,Ada, Plums,1
223,10,2.223946467,2013,Ada,Apricots,1
227,3,0.66718394,2013,Ada, Lettuce,1
229,10,2.223946467,2013,Ada,Pumpkin,1
243,1,0.222394647,2013,Ada,Cabbage,1
246,53,11.78691628,2013,Ada, Radishes,1
247,11,2.446341114,2013,Ada, Turnips,1
0,1598698,355541.8769,2014,Ada,NA,NA
1,52433,11660.81851,2014,Ada, Corn,1
4,18,4.003103641,2014,Ada, Sorghum,1
6,1,0.222394647,2014,Ada, Sunflowers,1
12,2685,597.1296264,2014,Ada, Sweet Corn,1
13,80,17.79157174,2014,Ada, Pop or Orn Corn,1
21,6864,1526.516855,2014,Ada, Barley,1
23,4736,1053.261047,2014,Ada, Spring Wheat,1
24,31400,6983.191907,2014,Ada, Winter Wheat,1
27,30,6.671839401,2014,Ada, Rye,1
28,1487,330.7008397,2014,Ada, Oats,1
36,81530,18131.83555,2014,Ada, Alfalfa,1
37,4740,1054.150625,2014,Ada, Other Hay/Non Alfalfa,1
38,39,8.673391222,2014,Ada,Camelina,1
41,10696,2378.733141,2014,Ada, Sugarbeets,1
42,8121,1806.066926,2014,Ada, Dry Beans,1
43,1223,271.9886529,2014,Ada, Potatoes,1
44,81,18.01396638,2014,Ada, Other Crops,1
49,1569,348.9372007,2014,Ada, Onions,1
53,1053,234.181563,2014,Ada, Peas,1
56,220,48.92682228,2014,Ada, Hops,1
57,5791,1287.887399,2014,Ada, Herbs,1
58,49,10.89733769,2014,Ada, Clover/Wildflowers,0
59,1429,317.8019502,2014,Ada, Sod/Grass Seed,1
61,16171,3596.343832,2014,Ada, Fallow/Idle Cropland,0
66,51,11.34212698,2014,Ada,Cherries,1
67,33,7.339023342,2014,Ada, Peaches,1
68,378,84.06517646,2014,Ada, Apples,1
69,207,46.03569187,2014,Ada, Grapes,1
77,6,1.33436788,2014,Ada, Pears,1
111,16828,3742.457115,2014,Ada, Open Water,0
121,195817,43548.65254,2014,Ada, Developed/Open Space,0
122,144755,32192.73709,2014,Ada, Developed/Low Intensity,0
123,51468,11446.20768,2014,Ada, Developed/Medium Intensity,0
124,7442,1655.060961,2014,Ada, Developed/High Intensity,0
131,183,40.69822035,2014,Ada, Barren,0
141,25,5.559866168,2014,Ada, Deciduous Forest,0
142,16984,3777.15068,2014,Ada, Evergreen Forest,0
152,725452,161336.6412,2014,Ada, Shrubland,0
176,1652970,367611.6792,2014,Ada, Grass/Pasture,0
190,1235,274.6573887,2014,Ada, Woody Wetlands,0
195,985,219.058727,2014,Ada, Herbaceous Wetlands,0
205,3496,777.4916849,2014,Ada, Triticale,1
206,649,144.3341257,2014,Ada, Carrots,1
207,3,0.66718394,2014,Ada,Asparagus,1
216,19,4.225498288,2014,Ada, Peppers,1
219,7,1.556762527,2014,Ada, Greens,1
220,23,5.115076874,2014,Ada, Plums,1
223,40,8.895785869,2014,Ada,Apricots,1
225,48,10.67494304,2014,Ada, Dbl Crop WinWht/Corn,1
227,5,1.111973234,2014,Ada, Lettuce,1
229,21,4.670287581,2014,Ada,Pumpkin,1
237,3,0.66718394,2014,Ada,Dbl Crop Barley/Corn,1
246,13,2.891130407,2014,Ada, Radishes,1
247,125,27.79933084,2014,Ada, Turnips,1
0,1598698,355541.8769,2015,Ada,NA,NA
1,57074,12692.95207,2015,Ada, Corn,1
4,79,17.56917709,2015,Ada, Sorghum,1
12,2962,658.7329436,2015,Ada, Sweet Corn,1
21,5534,1230.731975,2015,Ada, Barley,1
23,8092,1799.617481,2015,Ada, Spring Wheat,1
24,29196,6493.034105,2015,Ada, Winter Wheat,1
27,5,1.111973234,2015,Ada, Rye,1
28,935,207.9389947,2015,Ada, Oats,1
29,1,0.222394647,2015,Ada,Millet,1
36,95855,21317.63886,2015,Ada, Alfalfa,1
37,4487,997.8847798,2015,Ada, Other Hay/Non Alfalfa,1
38,907,201.7119446,2015,Ada,Camelina,1
41,11360,2526.403187,2015,Ada, Sugarbeets,1
42,5462,1214.71956,2015,Ada, Dry Beans,1
43,654,145.446099,2015,Ada, Potatoes,1
44,362,80.50686211,2015,Ada, Other Crops,1
47,812,180.5844531,2015,Ada, Misc Vegs & Fruits,1
49,1845,410.3181232,2015,Ada, Onions,1
53,1010,224.6185932,2015,Ada, Peas,1
56,58,12.89888951,2015,Ada, Hops,1
57,5621,1250.080309,2015,Ada, Herbs,1
58,37,8.228601928,2015,Ada, Clover/Wildflowers,0
